"FOM Properties"
"Average Response Time                "
"Minimum number of assets required: 1 "
"Satisfaction is not enabled          "
"FOM value range check is not enabled."

"Time (UTCG)","FOM Value (sec)"
1 Jul 2007 14:23:00.000,1116.602
1 Jul 2007 14:24:00.000,1056.602
1 Jul 2007 14:25:00.000,996.602
1 Jul 2007 14:26:00.000,936.602
1 Jul 2007 14:27:00.000,876.602
1 Jul 2007 14:28:00.000,816.602
1 Jul 2007 14:29:00.000,756.602
1 Jul 2007 14:30:00.000,696.602
1 Jul 2007 14:31:00.000,636.602
1 Jul 2007 14:32:00.000,576.602
1 Jul 2007 14:33:00.000,516.602
1 Jul 2007 14:34:00.000,456.602
1 Jul 2007 14:35:00.000,396.602
1 Jul 2007 14:36:00.000,336.602
1 Jul 2007 14:37:00.000,276.602
1 Jul 2007 14:38:00.000,216.602
1 Jul 2007 14:39:00.000,156.602
1 Jul 2007 14:40:00.000,96.602
1 Jul 2007 14:41:00.000,36.602
1 Jul 2007 14:42:00.000,0.000
1 Jul 2007 14:43:00.000,0.000
1 Jul 2007 14:44:00.000,0.000
1 Jul 2007 14:45:00.000,0.000
1 Jul 2007 14:46:00.000,0.000
1 Jul 2007 14:47:00.000,0.000
1 Jul 2007 14:48:00.000,0.000
1 Jul 2007 14:49:00.000,10055.008
1 Jul 2007 14:50:00.000,9995.008
1 Jul 2007 14:51:00.000,9935.008
1 Jul 2007 14:52:00.000,9875.008
1 Jul 2007 14:53:00.000,9815.008
1 Jul 2007 14:54:00.000,9755.008
1 Jul 2007 14:55:00.000,9695.008
1 Jul 2007 14:56:00.000,9635.008
1 Jul 2007 14:57:00.000,9575.008
1 Jul 2007 14:58:00.000,9515.008
1 Jul 2007 14:59:00.000,9455.008
1 Jul 2007 15:00:00.000,9395.008
1 Jul 2007 15:01:00.000,9335.008
1 Jul 2007 15:02:00.000,9275.008
1 Jul 2007 15:03:00.000,9215.008
1 Jul 2007 15:04:00.000,9155.008
1 Jul 2007 15:05:00.000,9095.008
1 Jul 2007 15:06:00.000,9035.008
1 Jul 2007 15:07:00.000,8975.008
1 Jul 2007 15:08:00.000,8915.008
1 Jul 2007 15:09:00.000,8855.008
1 Jul 2007 15:10:00.000,8795.008
1 Jul 2007 15:11:00.000,8735.008
1 Jul 2007 15:12:00.000,8675.008
1 Jul 2007 15:13:00.000,8615.008
1 Jul 2007 15:14:00.000,8555.008
1 Jul 2007 15:15:00.000,8495.008
1 Jul 2007 15:16:00.000,8435.008
1 Jul 2007 15:17:00.000,8375.008
1 Jul 2007 15:18:00.000,8315.008
1 Jul 2007 15:19:00.000,8255.008
1 Jul 2007 15:20:00.000,8195.008
1 Jul 2007 15:21:00.000,8135.008
1 Jul 2007 15:22:00.000,8075.008
1 Jul 2007 15:23:00.000,8015.008
1 Jul 2007 15:24:00.000,7955.008
1 Jul 2007 15:25:00.000,7895.008
1 Jul 2007 15:26:00.000,7835.008
1 Jul 2007 15:27:00.000,7775.008
1 Jul 2007 15:28:00.000,7715.008
1 Jul 2007 15:29:00.000,7655.008
1 Jul 2007 15:30:00.000,7595.008
1 Jul 2007 15:31:00.000,7535.008
1 Jul 2007 15:32:00.000,7475.008
1 Jul 2007 15:33:00.000,7415.008
1 Jul 2007 15:34:00.000,7355.008
1 Jul 2007 15:35:00.000,7295.008
1 Jul 2007 15:36:00.000,7235.008
1 Jul 2007 15:37:00.000,7175.008
1 Jul 2007 15:38:00.000,7115.008
1 Jul 2007 15:39:00.000,7055.008
1 Jul 2007 15:40:00.000,6995.008
1 Jul 2007 15:41:00.000,6935.008
1 Jul 2007 15:42:00.000,6875.008
1 Jul 2007 15:43:00.000,6815.008
1 Jul 2007 15:44:00.000,6755.008
1 Jul 2007 15:45:00.000,6695.008
1 Jul 2007 15:46:00.000,6635.008
1 Jul 2007 15:47:00.000,6575.008
1 Jul 2007 15:48:00.000,6515.008
1 Jul 2007 15:49:00.000,6455.008
1 Jul 2007 15:50:00.000,6395.008
1 Jul 2007 15:51:00.000,6335.008
1 Jul 2007 15:52:00.000,6275.008
1 Jul 2007 15:53:00.000,6215.008
1 Jul 2007 15:54:00.000,6155.008
1 Jul 2007 15:55:00.000,6095.008
1 Jul 2007 15:56:00.000,6035.008
1 Jul 2007 15:57:00.000,5975.008
1 Jul 2007 15:58:00.000,5915.008
1 Jul 2007 15:59:00.000,5855.008
1 Jul 2007 16:00:00.000,5795.008
1 Jul 2007 16:01:00.000,5735.008
1 Jul 2007 16:02:00.000,5675.008
1 Jul 2007 16:03:00.000,5615.008
1 Jul 2007 16:04:00.000,5555.008
1 Jul 2007 16:05:00.000,5495.008
1 Jul 2007 16:06:00.000,5435.008
1 Jul 2007 16:07:00.000,5375.008
1 Jul 2007 16:08:00.000,5315.008
1 Jul 2007 16:09:00.000,5255.008
1 Jul 2007 16:10:00.000,5195.008
1 Jul 2007 16:11:00.000,5135.008
1 Jul 2007 16:12:00.000,5075.008
1 Jul 2007 16:13:00.000,5015.008
1 Jul 2007 16:14:00.000,4955.008
1 Jul 2007 16:15:00.000,4895.008
1 Jul 2007 16:16:00.000,4835.008
1 Jul 2007 16:17:00.000,4775.008
1 Jul 2007 16:18:00.000,4715.008
1 Jul 2007 16:19:00.000,4655.008
1 Jul 2007 16:20:00.000,4595.008
1 Jul 2007 16:21:00.000,4535.008
1 Jul 2007 16:22:00.000,4475.008
1 Jul 2007 16:23:00.000,4415.008
1 Jul 2007 16:24:00.000,4355.008
1 Jul 2007 16:25:00.000,4295.008
1 Jul 2007 16:26:00.000,4235.008
1 Jul 2007 16:27:00.000,4175.008
1 Jul 2007 16:28:00.000,4115.008
1 Jul 2007 16:29:00.000,4055.008
1 Jul 2007 16:30:00.000,3995.008
1 Jul 2007 16:31:00.000,3935.008
1 Jul 2007 16:32:00.000,3875.008
1 Jul 2007 16:33:00.000,3815.008
1 Jul 2007 16:34:00.000,3755.008
1 Jul 2007 16:35:00.000,3695.008
1 Jul 2007 16:36:00.000,3635.008
1 Jul 2007 16:37:00.000,3575.008
1 Jul 2007 16:38:00.000,3515.008
1 Jul 2007 16:39:00.000,3455.008
1 Jul 2007 16:40:00.000,3395.008
1 Jul 2007 16:41:00.000,3335.008
1 Jul 2007 16:42:00.000,3275.008
1 Jul 2007 16:43:00.000,3215.008
1 Jul 2007 16:44:00.000,3155.008
1 Jul 2007 16:45:00.000,3095.008
1 Jul 2007 16:46:00.000,3035.008
1 Jul 2007 16:47:00.000,2975.008
1 Jul 2007 16:48:00.000,2915.008
1 Jul 2007 16:49:00.000,2855.008
1 Jul 2007 16:50:00.000,2795.008
1 Jul 2007 16:51:00.000,2735.008
1 Jul 2007 16:52:00.000,2675.008
1 Jul 2007 16:53:00.000,2615.008
1 Jul 2007 16:54:00.000,2555.008
1 Jul 2007 16:55:00.000,2495.008
1 Jul 2007 16:56:00.000,2435.008
1 Jul 2007 16:57:00.000,2375.008
1 Jul 2007 16:58:00.000,2315.008
1 Jul 2007 16:59:00.000,2255.008
1 Jul 2007 17:00:00.000,2195.008
1 Jul 2007 17:01:00.000,2135.008
1 Jul 2007 17:02:00.000,2075.008
1 Jul 2007 17:03:00.000,2015.008
1 Jul 2007 17:04:00.000,1955.008
1 Jul 2007 17:05:00.000,1895.008
1 Jul 2007 17:06:00.000,1835.008
1 Jul 2007 17:07:00.000,1775.008
1 Jul 2007 17:08:00.000,1715.008
1 Jul 2007 17:09:00.000,1655.008
1 Jul 2007 17:10:00.000,1595.008
1 Jul 2007 17:11:00.000,1535.008
1 Jul 2007 17:12:00.000,1475.008
1 Jul 2007 17:13:00.000,1415.008
1 Jul 2007 17:14:00.000,1355.008
1 Jul 2007 17:15:00.000,1295.008
1 Jul 2007 17:16:00.000,1235.008
1 Jul 2007 17:17:00.000,1175.008
1 Jul 2007 17:18:00.000,1115.008
1 Jul 2007 17:19:00.000,1055.008
1 Jul 2007 17:20:00.000,995.008
1 Jul 2007 17:21:00.000,935.008
1 Jul 2007 17:22:00.000,875.008
1 Jul 2007 17:23:00.000,815.008
1 Jul 2007 17:24:00.000,755.008
1 Jul 2007 17:25:00.000,695.008
1 Jul 2007 17:26:00.000,635.008
1 Jul 2007 17:27:00.000,575.008
1 Jul 2007 17:28:00.000,515.008
1 Jul 2007 17:29:00.000,455.008
1 Jul 2007 17:30:00.000,395.008
1 Jul 2007 17:31:00.000,335.008
1 Jul 2007 17:32:00.000,275.008
1 Jul 2007 17:33:00.000,215.008
1 Jul 2007 17:34:00.000,155.008
1 Jul 2007 17:35:00.000,95.008
1 Jul 2007 17:36:00.000,35.008
1 Jul 2007 17:37:00.000,0.000
1 Jul 2007 17:38:00.000,0.000
1 Jul 2007 17:39:00.000,0.000
1 Jul 2007 17:40:00.000,5022.407
1 Jul 2007 17:41:00.000,4962.407
1 Jul 2007 17:42:00.000,4902.407
1 Jul 2007 17:43:00.000,4842.407
1 Jul 2007 17:44:00.000,4782.407
1 Jul 2007 17:45:00.000,4722.407
1 Jul 2007 17:46:00.000,4662.407
1 Jul 2007 17:47:00.000,4602.407
1 Jul 2007 17:48:00.000,4542.407
1 Jul 2007 17:49:00.000,4482.407
1 Jul 2007 17:50:00.000,4422.407
1 Jul 2007 17:51:00.000,4362.407
1 Jul 2007 17:52:00.000,4302.407
1 Jul 2007 17:53:00.000,4242.407
1 Jul 2007 17:54:00.000,4182.407
1 Jul 2007 17:55:00.000,4122.407
1 Jul 2007 17:56:00.000,4062.407
1 Jul 2007 17:57:00.000,4002.407
1 Jul 2007 17:58:00.000,3942.407
1 Jul 2007 17:59:00.000,3882.407
1 Jul 2007 18:00:00.000,3822.407
1 Jul 2007 18:01:00.000,3762.407
1 Jul 2007 18:02:00.000,3702.407
1 Jul 2007 18:03:00.000,3642.407
1 Jul 2007 18:04:00.000,3582.407
1 Jul 2007 18:05:00.000,3522.407
1 Jul 2007 18:06:00.000,3462.407
1 Jul 2007 18:07:00.000,3402.407
1 Jul 2007 18:08:00.000,3342.407
1 Jul 2007 18:09:00.000,3282.407
1 Jul 2007 18:10:00.000,3222.407
1 Jul 2007 18:11:00.000,3162.407
1 Jul 2007 18:12:00.000,3102.407
1 Jul 2007 18:13:00.000,3042.407
1 Jul 2007 18:14:00.000,2982.407
1 Jul 2007 18:15:00.000,2922.407
1 Jul 2007 18:16:00.000,2862.407
1 Jul 2007 18:17:00.000,2802.407
1 Jul 2007 18:18:00.000,2742.407
1 Jul 2007 18:19:00.000,2682.407
1 Jul 2007 18:20:00.000,2622.407
1 Jul 2007 18:21:00.000,2562.407
1 Jul 2007 18:22:00.000,2502.407
1 Jul 2007 18:23:00.000,2442.407
1 Jul 2007 18:24:00.000,2382.407
1 Jul 2007 18:25:00.000,2322.407
1 Jul 2007 18:26:00.000,2262.407
1 Jul 2007 18:27:00.000,2202.407
1 Jul 2007 18:28:00.000,2142.407
1 Jul 2007 18:29:00.000,2082.407
1 Jul 2007 18:30:00.000,2022.407
1 Jul 2007 18:31:00.000,1962.407
1 Jul 2007 18:32:00.000,1902.407
1 Jul 2007 18:33:00.000,1842.407
1 Jul 2007 18:34:00.000,1782.407
1 Jul 2007 18:35:00.000,1722.407
1 Jul 2007 18:36:00.000,1662.407
1 Jul 2007 18:37:00.000,1602.407
1 Jul 2007 18:38:00.000,1542.407
1 Jul 2007 18:39:00.000,1482.407
1 Jul 2007 18:40:00.000,1422.407
1 Jul 2007 18:41:00.000,1362.407
1 Jul 2007 18:42:00.000,1302.407
1 Jul 2007 18:43:00.000,1242.407
1 Jul 2007 18:44:00.000,1182.407
1 Jul 2007 18:45:00.000,1122.407
1 Jul 2007 18:46:00.000,1062.407
1 Jul 2007 18:47:00.000,1002.407
1 Jul 2007 18:48:00.000,942.407
1 Jul 2007 18:49:00.000,882.407
1 Jul 2007 18:50:00.000,822.407
1 Jul 2007 18:51:00.000,762.407
1 Jul 2007 18:52:00.000,702.407
1 Jul 2007 18:53:00.000,642.407
1 Jul 2007 18:54:00.000,582.407
1 Jul 2007 18:55:00.000,522.407
1 Jul 2007 18:56:00.000,462.407
1 Jul 2007 18:57:00.000,402.407
1 Jul 2007 18:58:00.000,342.407
1 Jul 2007 18:59:00.000,282.407
1 Jul 2007 19:00:00.000,222.407
1 Jul 2007 19:01:00.000,162.407
1 Jul 2007 19:02:00.000,102.407
1 Jul 2007 19:03:00.000,42.407
1 Jul 2007 19:04:00.000,0.000
1 Jul 2007 19:05:00.000,0.000
1 Jul 2007 19:06:00.000,0.000
1 Jul 2007 19:07:00.000,0.000
1 Jul 2007 19:08:00.000,0.000
1 Jul 2007 19:09:00.000,0.000
1 Jul 2007 19:10:00.000,0.000
1 Jul 2007 19:11:00.000,0.000
1 Jul 2007 19:12:00.000,0.000
1 Jul 2007 19:13:00.000,0.000
1 Jul 2007 19:14:00.000,0.000
1 Jul 2007 19:15:00.000,0.000
1 Jul 2007 19:16:00.000,0.000
1 Jul 2007 19:17:00.000,0.000
1 Jul 2007 19:18:00.000,5228.517
1 Jul 2007 19:19:00.000,5168.517
1 Jul 2007 19:20:00.000,5108.517
1 Jul 2007 19:21:00.000,5048.517
1 Jul 2007 19:22:00.000,4988.517
1 Jul 2007 19:23:00.000,4928.517
1 Jul 2007 19:24:00.000,4868.517
1 Jul 2007 19:25:00.000,4808.517
1 Jul 2007 19:26:00.000,4748.517
1 Jul 2007 19:27:00.000,4688.517
1 Jul 2007 19:28:00.000,4628.517
1 Jul 2007 19:29:00.000,4568.517
1 Jul 2007 19:30:00.000,4508.517
1 Jul 2007 19:31:00.000,4448.517
1 Jul 2007 19:32:00.000,4388.517
1 Jul 2007 19:33:00.000,4328.517
1 Jul 2007 19:34:00.000,4268.517
1 Jul 2007 19:35:00.000,4208.517
1 Jul 2007 19:36:00.000,4148.517
1 Jul 2007 19:37:00.000,4088.517
1 Jul 2007 19:38:00.000,4028.517
1 Jul 2007 19:39:00.000,3968.517
1 Jul 2007 19:40:00.000,3908.517
1 Jul 2007 19:41:00.000,3848.517
1 Jul 2007 19:42:00.000,3788.517
1 Jul 2007 19:43:00.000,3728.517
1 Jul 2007 19:44:00.000,3668.517
1 Jul 2007 19:45:00.000,3608.517
1 Jul 2007 19:46:00.000,3548.517
1 Jul 2007 19:47:00.000,3488.517
1 Jul 2007 19:48:00.000,3428.517
1 Jul 2007 19:49:00.000,3368.517
1 Jul 2007 19:50:00.000,3308.517
1 Jul 2007 19:51:00.000,3248.517
1 Jul 2007 19:52:00.000,3188.517
1 Jul 2007 19:53:00.000,3128.517
1 Jul 2007 19:54:00.000,3068.517
1 Jul 2007 19:55:00.000,3008.517
1 Jul 2007 19:56:00.000,2948.517
1 Jul 2007 19:57:00.000,2888.517
1 Jul 2007 19:58:00.000,2828.517
1 Jul 2007 19:59:00.000,2768.517
1 Jul 2007 20:00:00.000,2708.517
1 Jul 2007 20:01:00.000,2648.517
1 Jul 2007 20:02:00.000,2588.517
1 Jul 2007 20:03:00.000,2528.517
1 Jul 2007 20:04:00.000,2468.517
1 Jul 2007 20:05:00.000,2408.517
1 Jul 2007 20:06:00.000,2348.517
1 Jul 2007 20:07:00.000,2288.517
1 Jul 2007 20:08:00.000,2228.517
1 Jul 2007 20:09:00.000,2168.517
1 Jul 2007 20:10:00.000,2108.517
1 Jul 2007 20:11:00.000,2048.517
1 Jul 2007 20:12:00.000,1988.517
1 Jul 2007 20:13:00.000,1928.517
1 Jul 2007 20:14:00.000,1868.517
1 Jul 2007 20:15:00.000,1808.517
1 Jul 2007 20:16:00.000,1748.517
1 Jul 2007 20:17:00.000,1688.517
1 Jul 2007 20:18:00.000,1628.517
1 Jul 2007 20:19:00.000,1568.517
1 Jul 2007 20:20:00.000,1508.517
1 Jul 2007 20:21:00.000,1448.517
1 Jul 2007 20:22:00.000,1388.517
1 Jul 2007 20:23:00.000,1328.517
1 Jul 2007 20:24:00.000,1268.517
1 Jul 2007 20:25:00.000,1208.517
