Lifetime,Ntargets,Mass,Ixx,Iyy,Izz,SurfaceArea,Altitude,Eccentricity,Nsats,Nplanes,MaxPointing,GResOff,GSD,Wavelength,NPixCrosstrack,NPixVelocity,PixelSize,Nbits,ArealDensity,ADCSConf,Reflectance,MaxSolarAngle,OffsetCPsolar,OffsetCPaero,ResidualDipole,DragCoefficient,RWMarginFactor,ThrusterMomentArm,NumberofRW,NumberofSunSensors,NumberofMagnetometers,NumberofMagneticTorquers,ADCSSpecificImpulse,ULRequiredEbN0,ULEbN0Margin,ImplementationLoss,ULTXPower,ULTXAntennaDiameter,ULTXLineLoss,GroundAntennaMinElevation,ULFrequency,ULDataRate,ULTXAntennaPointingOffset,ULRXAntennaEfficiency,TTCRedundancy,DLRequiredEbN0,DLEbN0Margin,DLFrequency,DLRXAntennaPointingOffset,DLRXAntennaDiameter,DLTXLineLoss,CompressionFactor,NGroundStations,LatGroundStations,LonGroundStations,Inclination,Semimajor,Velocity,VelocityPer,VelocityApo,Period,Density,MeanAngMotion,Rho,Epsilon,Lambda,Range,CoverageWidth,TorqueGravity,TorqueMagnetic,TorqueSolar,TorqueAero,MaxTorque,RWTorque,RWMomentum,RWMaxOmega,MGTorquersDipole,ThrusterForce,ThrusterNpulses,ADCSDelta_V,ADCSDelta_VD,ADCSDelta_VS,ADCDVS_VT,ADCSPropellantMass,MassADCS,PeakPowerADCS,AvgPowerADCS,OffPowerADCS,Aperture,Flength,FOVc,GResNadir,AngleHorizSTK,AngleVertSTK,ImageSize,MassOptics,PeakPowerOptics,AvgPowerOptics,OffPowerOptics,ULRXAntennaDiameter,ULRXAntennaGain,ULRXAntennaBeamwidth,DLDataRate,DLTXPower,DLTXAntennaBeamwidth,DLTXAntennaGain,DLTXAntennaDiameter,MassComm,PeakPowerComm,AvgPowerComm,OffPowerComm,MassPower,SolarArrayPower,SolarArrayArea,MassThermal,PeakPowerThermal,AvgPowerThermal,OffPowerThermal,MassProp,PeakPowerProp,AvgPowerProp,OffPowerProp,MassOBDH,PeakPowerOBDH,AvgPowerOBDH,OffPowerOBDH,Volume,Inertia,MassStruct,Cost,Power,InTheaterAccessDuration,CoverageTime,FinalCoverage,RevisitTimeMax,RevisitTimeMean,ResponseTimeMax,ResponseTimeMean,CommDurationMax,CommDurationMean,CommDurationMin,CommRespTimeMax,CommRespTimeMean,NImagesPerDay,Fields,DataVolume,CommDurationTotal,PowerPower,CostPerImage
2,5,187.0594,90,60,90,3,467,0,4,1,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,198979.4615,101.6796,100.497,,,86400,57425.5012,86400,57425.5012,660.792,525.8658,255.0312,,,1.5046,,172800000,8413.8522,16.9466,36.2332
2,5,187.0594,90,60,90,3,467,0,4,2,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,198979.4615,101.6796,100.497,,,86400,41612.3994,86400,41612.3994,661.7639,520.1542,99.1126,,,2.0763,,172800000,16644.9332,16.9466,26.2557
2,5,187.0594,90,60,90,3,467,0,4,4,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,198979.4615,101.6796,100.497,,,44446.3593,24270.1455,44446.3593,24270.1455,661.7639,521.1578,99.1126,,,3.5599,,172800000,33743.8005,16.9466,15.3135
2,5,187.0594,90,60,90,3,467,0,8,1,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,306481.5731,101.6796,100.497,,,50711.8015,43088.3417,50711.8015,43088.3417,661.726,522.6875,183.2259,,,2.0052,,172800000,16725.9998,16.9466,41.8753
2,5,187.0594,90,60,90,3,467,0,8,2,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,306481.5731,101.6796,100.497,,,28872.7827,23180.8023,28872.7827,23180.8023,661.7639,521.6139,99.1126,,,3.7272,,172800000,33383.2921,16.9466,22.5282
2,5,187.0594,90,60,90,3,467,0,8,4,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,306481.5731,101.6796,100.497,,,18302.5376,12742.7117,18302.5376,12742.7117,661.8962,520.6351,85.0247,,,6.7803,,172800000,66923.1301,16.9466,12.384
2,5,187.0594,90,60,90,3,467,0,12,1,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,409893.4562,101.6796,100.497,,,50012.4785,42860.1065,50012.4785,42860.1065,661.6607,540.4409,255.0312,,,2.0159,,172800000,24782.1877,16.9466,55.708
2,5,187.0594,90,60,90,3,467,0,12,2,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,409893.4562,101.6796,100.497,,,28406.4946,22921.4379,28406.4946,22921.4379,661.7639,530.734,99.1126,,,3.7694,,172800000,49791.488,16.9466,29.7925
2,5,187.0594,90,60,90,3,467,0,12,4,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.2772,6845.137,7.6309,7.6309,7.6309,5636.1711,1.074e-10,0.0011148,68.7134,68.4654,1.5346,499.4053,339.9482,3.5948e-05,4.9636e-05,6.5616e-06,0.0037523,0.0037523,0.099539,3.7385,0.041539,1255.3175,0,0,0,0,0,0,0,44.7565,129.8313,27.7263,0.25,0.21507,10.5773,0.16251,2.6491,0.16251,20.1625,1728000000,1.0899,50.136,50.136,10.0272,0.064381,0,163.0907,3438908.6014,3.5599,148.2643,0.87927,0.064381,4.1119,12.3584,1.25,0.25,90.9245,226.1221,1.0746,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,1.8706,61.1832,31.1766,409893.4562,101.6796,100.497,,,17603.1514,12469.9517,17603.1514,12469.9517,661.8089,526.7819,58.1426,,,6.9287,,172800000,99985.1806,16.9466,16.208
2,5,270.1967,90,60,90,3,567,0,4,1,20,3,0.5,5e-07,6000,64,1e-05,12,30,1,0.6,0,0.3,0.2,1,2,1.5,0.5,4,3,2,3,70,12,3,2,1,2,-1,10,2000000000,9600,0.2,0.55,2,10,3,2200000000,0.2,2,-1,10,2,,,97.6583,6945.137,7.5758,7.5758,7.5758,5760.1285,5.3727e-12,0.0010908,66.6875,68.1348,1.8652,606.9852,412.7422,3.4417e-05,4.7523e-05,6.5616e-06,0.00018501,0.00018501,0.067458,0.18839,0.0020932,66.0708,0,0,0,0,0,0,0,18.7239,66.0662,14.9732,0.25,0.26113,12.8423,0.13384,2.6491,0.13384,20.1338,1728000000,1.6066,50.136,50.136,10.0272,0.064381,0,163.0907,166393169.3868,227.9574,148.2643,0.87927,0.064381,4.1119,735.7793,1.25,0.25,185.7215,458.7987,2.1803,5,5,3.5,1,8,3,2.1,0.6,2,2,1.4,0.4,2.702,112.9276,45.0328,212734.418,211.2355,122.077,,,86400,52387.2194,86400,52387.2194,739.8997,593.6545,198.1619,,,1.6493,,172800000,10010.0187,35.2059,35.3392
